,Motorrad (R),LKW (S),LKW (R),Transporter (S),Kleintransporter (R),Kleintransporter (S),PKW (S),Fahrräder,Motorrad (S),PKW (R),Transporter (R)
2022-12-31 23:10:00+00:00,,2,,5,,0,4,3,1,,
2022-12-31 23:20:00+00:00,,1,,2,,0,4,0,1,,
2022-12-31 23:30:00+00:00,,0,,9,,0,14,1,0,,
2022-12-31 23:40:00+00:00,,0,,11,,0,22,1,2,,
2022-12-31 23:50:00+00:00,,0,,9,,0,34,1,0,,
2023-01-01 00:00:00+00:00,,3,,7,,3,19,2,0,,
2023-01-01 00:10:00+00:00,,6,,10,,5,17,4,3,,
2023-01-01 00:20:00+00:00,,1,,16,,2,22,8,0,,
2023-01-01 00:30:00+00:00,,0,,12,,0,21,3,0,,
2023-01-01 00:40:00+00:00,,0,,8,,0,32,4,1,,
2023-01-01 00:50:00+00:00,,0,,17,,0,33,7,0,,
2023-01-01 01:00:00+00:00,,4,,14,,0,17,3,0,,
2023-01-01 01:10:00+00:00,,3,,11,,0,18,5,0,,
2023-01-01 01:20:00+00:00,,0,,11,,0,23,5,1,,
2023-01-01 01:30:00+00:00,,0,,12,,0,18,4,2,,
2023-01-01 01:40:00+00:00,,2,,11,,1,17,3,0,,
2023-01-01 01:50:00+00:00,,0,,10,,0,14,2,0,,
2023-01-01 02:00:00+00:00,,0,,11,,0,14,3,0,,
2023-01-01 02:10:00+00:00,,5,,3,,4,19,0,0,,
2023-01-01 02:20:00+00:00,,1,,10,,1,17,6,0,,
2023-01-01 02:30:00+00:00,,0,,4,,0,27,2,1,,
2023-01-01 02:40:00+00:00,,0,,10,,3,12,8,0,,
2023-01-01 02:50:00+00:00,,0,,6,,0,21,1,1,,
2023-01-01 03:00:00+00:00,,0,,5,,0,16,3,1,,
2023-01-01 03:10:00+00:00,,1,,10,,0,9,4,0,,
2023-01-01 03:20:00+00:00,,0,,4,,0,12,2,1,,
2023-01-01 03:30:00+00:00,,0,,7,,0,14,2,1,,
2023-01-01 03:40:00+00:00,,0,,4,,0,16,6,0,,
2023-01-01 03:50:00+00:00,,0,,3,,0,13,2,0,,
2023-01-01 04:00:00+00:00,,0,,4,,0,19,4,0,,
2023-01-01 04:10:00+00:00,,2,,5,,1,6,1,1,,
2023-01-01 04:20:00+00:00,,2,,6,,1,9,1,0,,
2023-01-01 04:30:00+00:00,,3,,9,,1,11,1,0,,
2023-01-01 04:40:00+00:00,,1,,5,,0,9,3,0,,
2023-01-01 04:50:00+00:00,,0,,10,,0,11,3,0,,
2023-01-01 05:00:00+00:00,,0,,7,,0,7,2,0,,
2023-01-01 05:10:00+00:00,,2,,5,,0,13,1,0,,
2023-01-01 05:20:00+00:00,,0,,6,,0,14,3,0,,
2023-01-01 05:30:00+00:00,,3,,6,,4,11,2,0,,
2023-01-01 05:40:00+00:00,,1,,3,,0,8,0,0,,
2023-01-01 05:50:00+00:00,,1,,4,,0,5,2,0,,
2023-01-01 06:00:00+00:00,,3,,2,,3,4,2,0,,
2023-01-01 06:10:00+00:00,,1,,6,,1,7,2,0,,
2023-01-01 06:20:00+00:00,,0,,5,,0,8,1,0,,
2023-01-01 06:30:00+00:00,,0,,2,,0,8,0,0,,
2023-01-01 06:40:00+00:00,,0,,8,,0,11,2,0,,
2023-01-01 06:50:00+00:00,,0,,3,,0,11,0,0,,
2023-01-01 07:00:00+00:00,,0,,6,,0,7,0,0,,
2023-01-01 07:10:00+00:00,,0,,2,,0,8,0,1,,
2023-01-01 07:20:00+00:00,,0,,8,,0,4,1,0,,
2023-01-01 07:30:00+00:00,,0,,4,,0,3,2,0,,
2023-01-01 07:40:00+00:00,,2,,2,,2,6,1,0,,
2023-01-01 07:50:00+00:00,,1,,4,,0,7,0,0,,
2023-01-01 08:00:00+00:00,,0,,3,,0,8,1,0,,
2023-01-01 08:10:00+00:00,,1,,4,,0,5,0,0,,
2023-01-01 08:20:00+00:00,,0,,7,,0,8,2,0,,
2023-01-01 08:30:00+00:00,,1,,11,,1,5,2,1,,
2023-01-01 08:40:00+00:00,,2,,2,,0,6,1,0,,
2023-01-01 08:50:00+00:00,,4,,4,,1,5,1,0,,
2023-01-01 09:00:00+00:00,,1,,5,,0,11,3,0,,
2023-01-01 09:10:00+00:00,,1,,5,,0,8,4,0,,
2023-01-01 09:20:00+00:00,,0,,8,,0,14,0,0,,
2023-01-01 09:30:00+00:00,,1,,2,,1,13,1,1,,
2023-01-01 09:40:00+00:00,,0,,7,,0,15,2,0,,
2023-01-01 09:50:00+00:00,,0,,12,,0,15,3,0,,
2023-01-01 10:00:00+00:00,,0,,9,,0,10,5,0,,
2023-01-01 10:10:00+00:00,,0,,11,,0,13,5,2,,
2023-01-01 10:20:00+00:00,,0,,19,,0,12,1,0,,
2023-01-01 10:30:00+00:00,,0,,4,,0,22,2,0,,
2023-01-01 10:40:00+00:00,,0,,5,,0,20,3,0,,
2023-01-01 10:50:00+00:00,,0,,7,,0,17,2,0,,
2023-01-01 11:00:00+00:00,,0,,8,,0,26,3,0,,
2023-01-01 11:10:00+00:00,,0,,6,,0,19,2,0,,
2023-01-01 11:20:00+00:00,,0,,15,,0,13,4,0,,
2023-01-01 11:30:00+00:00,,1,,10,,0,25,4,0,,
2023-01-01 11:40:00+00:00,,0,,7,,0,34,7,0,,
2023-01-01 11:50:00+00:00,,0,,5,,1,28,5,1,,
2023-01-01 12:00:00+00:00,,0,,8,,1,27,4,0,,
2023-01-01 12:10:00+00:00,,0,,12,,0,22,7,0,,
2023-01-01 12:20:00+00:00,,0,,11,,0,28,11,1,,
2023-01-01 12:30:00+00:00,,0,,13,,0,28,6,0,,
2023-01-01 12:40:00+00:00,,0,,11,,0,32,8,0,,
2023-01-01 12:50:00+00:00,,1,,8,,0,31,6,0,,
2023-01-01 13:00:00+00:00,,0,,8,,0,36,6,0,,
2023-01-01 13:10:00+00:00,,0,,10,,0,36,5,0,,
2023-01-01 13:20:00+00:00,,0,,12,,0,40,7,1,,
2023-01-01 13:30:00+00:00,,1,,14,,0,28,6,3,,
2023-01-01 13:40:00+00:00,,0,,7,,0,39,5,1,,
2023-01-01 13:50:00+00:00,,1,,11,,0,35,6,0,,
2023-01-01 14:00:00+00:00,,0,,15,,0,36,6,0,,
2023-01-01 14:10:00+00:00,,0,,15,,0,31,13,0,,
2023-01-01 14:20:00+00:00,,1,,10,,2,38,4,0,,
2023-01-01 14:30:00+00:00,,0,,13,,2,35,6,0,,
2023-01-01 14:40:00+00:00,,0,,8,,0,29,5,0,,
2023-01-01 14:50:00+00:00,,0,,13,,0,37,7,0,,
2023-01-01 15:00:00+00:00,,0,,18,,0,44,5,0,,
2023-01-01 15:10:00+00:00,,0,,15,,0,33,11,0,,
2023-01-01 15:20:00+00:00,,0,,13,,0,36,9,0,,
2023-01-01 15:30:00+00:00,,0,,10,,0,41,5,1,,
2023-01-01 15:40:00+00:00,,1,,8,,1,40,7,0,,
2023-01-01 15:50:00+00:00,,1,,8,,1,26,4,2,,
2023-01-01 16:00:00+00:00,,0,,22,,0,36,3,0,,
2023-01-01 16:10:00+00:00,,0,,14,,0,30,7,1,,
2023-01-01 16:20:00+00:00,,0,,22,,0,30,9,1,,
2023-01-01 16:30:00+00:00,,0,,17,,0,39,6,0,,
2023-01-01 16:40:00+00:00,,0,,20,,0,32,9,0,,
2023-01-01 16:50:00+00:00,,0,,16,,0,30,9,1,,
2023-01-01 17:00:00+00:00,,2,,19,,0,29,9,0,,
2023-01-01 17:10:00+00:00,,3,,7,,2,27,8,0,,
2023-01-01 17:20:00+00:00,,0,,21,,0,42,4,0,,
2023-01-01 17:30:00+00:00,,0,,10,,1,25,7,0,,
2023-01-01 17:40:00+00:00,,1,,21,,0,19,4,1,,
2023-01-01 17:50:00+00:00,,0,,12,,1,22,4,0,,
2023-01-01 18:00:00+00:00,,0,,16,,0,51,3,0,,
2023-01-01 18:10:00+00:00,,0,,12,,0,33,4,1,,
2023-01-01 18:20:00+00:00,,0,,14,,1,32,6,2,,
2023-01-01 18:30:00+00:00,,0,,9,,0,24,3,1,,
2023-01-01 18:40:00+00:00,,0,,10,,0,33,4,0,,
2023-01-01 18:50:00+00:00,,0,,15,,0,26,4,0,,
2023-01-01 19:00:00+00:00,,0,,15,,0,26,6,0,,
2023-01-01 19:10:00+00:00,,1,,12,,0,16,6,0,,
2023-01-01 19:20:00+00:00,,0,,15,,0,20,4,0,,
2023-01-01 19:30:00+00:00,,1,,11,,0,24,2,1,,
2023-01-01 19:40:00+00:00,,6,,3,,2,22,1,0,,
2023-01-01 19:50:00+00:00,,2,,6,,1,43,5,1,,
2023-01-01 20:00:00+00:00,,0,,13,,0,34,2,0,,
2023-01-01 20:10:00+00:00,,2,,9,,1,14,6,2,,
2023-01-01 20:20:00+00:00,,0,,5,,1,18,0,0,,
2023-01-01 20:30:00+00:00,,6,,7,,1,14,2,1,,
2023-01-01 20:40:00+00:00,,0,,8,,0,22,2,0,,
2023-01-01 20:50:00+00:00,,1,,12,,0,22,3,0,,
2023-01-01 21:00:00+00:00,,0,,5,,0,17,4,0,,
2023-01-01 21:10:00+00:00,,1,,6,,1,15,2,0,,
2023-01-01 21:20:00+00:00,,0,,12,,0,29,6,0,,
2023-01-01 21:30:00+00:00,,2,,4,,1,14,1,1,,
2023-01-01 21:40:00+00:00,,1,,7,,0,19,1,0,,
2023-01-01 21:50:00+00:00,,1,,10,,1,13,2,0,,
2023-01-01 22:00:00+00:00,,1,,1,,0,20,1,0,,
2023-01-01 22:10:00+00:00,,0,,3,,0,16,1,0,,
2023-01-01 22:20:00+00:00,,0,,6,,0,10,1,0,,
2023-01-01 22:30:00+00:00,,0,,4,,2,10,0,0,,
2023-01-01 22:40:00+00:00,,0,,1,,0,13,1,0,,
2023-01-01 22:50:00+00:00,,0,,3,,1,16,4,1,,
2023-01-01 23:00:00+00:00,,0,,1,,0,10,1,0,,
2023-01-01 23:10:00+00:00,,0,,2,,0,6,1,0,,
2023-01-01 23:20:00+00:00,,0,,4,,0,4,1,0,,
2023-01-01 23:30:00+00:00,,2,,1,,0,6,0,0,,
2023-01-01 23:40:00+00:00,,0,,1,,0,8,3,0,,
2023-01-01 23:50:00+00:00,,0,,5,,0,7,1,0,,
2023-01-02 00:00:00+00:00,,0,,1,,0,4,1,0,,
2023-01-02 00:10:00+00:00,,0,,6,,0,7,0,0,,
2023-01-02 00:20:00+00:00,,0,,0,,0,8,0,0,,
2023-01-02 00:30:00+00:00,,0,,0,,0,10,0,0,,
2023-01-02 00:40:00+00:00,,0,,0,,0,3,0,0,,
2023-01-02 00:50:00+00:00,,0,,1,,0,4,1,0,,
2023-01-02 01:00:00+00:00,,0,,0,,0,0,0,0,,
2023-01-02 01:10:00+00:00,,2,,0,,0,5,0,0,,
2023-01-02 01:20:00+00:00,,1,,0,,0,4,0,0,,
2023-01-02 01:30:00+00:00,,0,,1,,0,6,0,0,,
2023-01-02 01:40:00+00:00,,0,,2,,0,6,2,0,,
2023-01-02 01:50:00+00:00,,0,,1,,0,3,0,0,,
2023-01-02 02:00:00+00:00,,0,,3,,0,4,0,0,,
2023-01-02 02:10:00+00:00,,0,,3,,0,1,0,1,,
2023-01-02 02:20:00+00:00,,0,,3,,0,1,2,0,,
2023-01-02 02:30:00+00:00,,0,,2,,0,2,0,0,,
2023-01-02 02:40:00+00:00,,0,,0,,0,5,1,0,,
2023-01-02 02:50:00+00:00,,0,,0,,0,2,0,0,,
2023-01-02 03:00:00+00:00,,0,,3,,0,2,0,0,,
2023-01-02 03:10:00+00:00,,0,,3,,0,1,0,0,,
2023-01-02 03:20:00+00:00,,0,,2,,0,3,1,0,,
2023-01-02 03:30:00+00:00,,0,,2,,0,7,1,0,,
2023-01-02 03:40:00+00:00,,0,,5,,0,3,1,0,,
2023-01-02 03:50:00+00:00,,0,,4,,0,5,3,1,,
2023-01-02 04:00:00+00:00,,0,,4,,0,8,1,0,,
2023-01-02 04:10:00+00:00,,0,,4,,0,8,1,0,,
2023-01-02 04:20:00+00:00,,0,,6,,0,14,0,0,,
2023-01-02 04:30:00+00:00,,0,,6,,0,22,2,1,,
2023-01-02 04:40:00+00:00,,1,,5,,1,14,4,0,,
2023-01-02 04:50:00+00:00,,1,,14,,0,18,4,0,,
2023-01-02 05:00:00+00:00,,0,,11,,0,23,10,0,,
2023-01-02 05:10:00+00:00,,2,,6,,0,16,5,1,,
2023-01-02 05:20:00+00:00,,0,,8,,3,16,1,2,,
2023-01-02 05:30:00+00:00,,1,,18,,0,21,5,1,,
2023-01-02 05:40:00+00:00,,0,,13,,0,21,4,0,,
2023-01-02 05:50:00+00:00,,1,,12,,2,42,9,0,,
2023-01-02 06:00:00+00:00,,0,,12,,1,29,14,0,,
2023-01-02 06:10:00+00:00,,2,,14,,2,25,4,3,,
2023-01-02 06:20:00+00:00,,1,,9,,0,27,6,0,,
2023-01-02 06:30:00+00:00,,0,,18,,0,20,9,0,,
2023-01-02 06:40:00+00:00,,2,,13,,1,16,8,0,,
