,LKW (S),Motorrad (L),PKW (S),Transporter (L),Transporter (S),PKW (L),Motorrad (S),Kleintransporter (S),LKW (L),Kleintransporter (L)
2022-12-31 23:10:00+00:00,0,0,8,0,1,0,0,0,0,0
2022-12-31 23:20:00+00:00,0,0,10,0,2,0,0,0,0,0
2022-12-31 23:30:00+00:00,0,0,22,0,1,0,0,0,0,0
2022-12-31 23:40:00+00:00,0,0,27,0,5,0,0,0,0,0
2022-12-31 23:50:00+00:00,0,0,32,0,5,0,0,0,0,0
2023-01-01 00:00:00+00:00,0,0,29,0,4,0,0,0,0,0
2023-01-01 00:10:00+00:00,0,0,38,0,3,0,0,0,0,0
2023-01-01 00:20:00+00:00,0,0,37,0,3,0,0,0,0,0
2023-01-01 00:30:00+00:00,0,0,44,0,6,0,0,0,0,0
2023-01-01 00:40:00+00:00,0,0,42,0,4,0,0,0,0,0
2023-01-01 00:50:00+00:00,0,0,28,0,6,0,0,0,0,0
2023-01-01 01:00:00+00:00,0,0,31,0,4,0,0,0,0,0
2023-01-01 01:10:00+00:00,0,0,32,0,1,0,0,0,0,0
2023-01-01 01:20:00+00:00,0,0,20,0,2,0,0,0,0,0
2023-01-01 01:30:00+00:00,0,0,24,0,6,0,0,0,0,0
2023-01-01 01:40:00+00:00,0,0,27,0,2,0,0,0,0,0
2023-01-01 01:50:00+00:00,0,0,29,0,1,0,0,0,0,0
2023-01-01 02:00:00+00:00,0,0,22,0,2,0,0,0,0,0
2023-01-01 02:10:00+00:00,0,0,32,0,1,0,0,0,0,0
2023-01-01 02:20:00+00:00,0,0,14,0,0,0,0,0,0,0
2023-01-01 02:30:00+00:00,0,0,21,0,1,0,0,0,0,0
2023-01-01 02:40:00+00:00,0,0,20,0,2,0,0,0,0,0
2023-01-01 02:50:00+00:00,0,0,12,0,1,0,0,0,0,0
2023-01-01 03:00:00+00:00,0,0,12,0,1,0,0,0,0,0
2023-01-01 03:10:00+00:00,0,0,13,0,1,0,0,0,0,0
2023-01-01 03:20:00+00:00,0,0,11,0,0,0,0,0,0,0
2023-01-01 03:30:00+00:00,0,0,16,0,0,0,0,0,0,0
2023-01-01 03:40:00+00:00,0,0,21,0,2,0,0,0,0,0
2023-01-01 03:50:00+00:00,0,0,17,0,2,0,0,0,0,0
2023-01-01 04:00:00+00:00,0,0,15,0,0,0,0,0,0,0
2023-01-01 04:10:00+00:00,0,0,16,0,2,0,0,0,0,0
2023-01-01 04:20:00+00:00,0,0,14,0,2,0,0,0,0,0
2023-01-01 04:30:00+00:00,0,0,14,0,1,0,0,0,0,0
2023-01-01 04:40:00+00:00,0,0,18,0,2,0,0,0,0,0
2023-01-01 04:50:00+00:00,0,0,10,0,2,0,0,0,0,0
2023-01-01 05:00:00+00:00,0,0,10,0,1,0,0,0,0,0
2023-01-01 05:10:00+00:00,0,0,10,0,3,0,0,0,0,0
2023-01-01 05:20:00+00:00,0,0,10,0,1,0,0,0,0,0
2023-01-01 05:30:00+00:00,0,0,11,0,1,0,0,0,0,0
2023-01-01 05:40:00+00:00,0,0,12,0,2,0,0,0,0,0
2023-01-01 05:50:00+00:00,0,0,7,0,0,0,0,0,0,0
2023-01-01 06:00:00+00:00,0,0,8,0,1,0,0,0,0,0
2023-01-01 06:10:00+00:00,0,0,7,0,2,0,0,0,0,0
2023-01-01 06:20:00+00:00,0,0,6,0,0,0,0,0,0,0
2023-01-01 06:30:00+00:00,0,0,11,0,1,0,0,0,0,0
2023-01-01 06:40:00+00:00,0,0,4,0,0,0,0,0,0,0
2023-01-01 06:50:00+00:00,0,0,7,0,2,0,0,0,0,0
2023-01-01 07:00:00+00:00,0,0,10,0,2,0,0,0,0,0
2023-01-01 07:10:00+00:00,0,0,13,0,1,0,0,0,0,0
2023-01-01 07:20:00+00:00,0,0,9,0,0,0,0,0,0,0
2023-01-01 07:30:00+00:00,0,0,14,0,1,0,0,0,0,0
2023-01-01 07:40:00+00:00,0,0,7,0,0,0,0,0,0,0
2023-01-01 07:50:00+00:00,0,0,13,0,0,0,0,0,0,0
2023-01-01 08:00:00+00:00,0,0,8,0,1,0,1,0,0,0
2023-01-01 08:10:00+00:00,0,0,13,0,4,0,0,0,0,0
2023-01-01 08:20:00+00:00,0,0,6,0,3,0,0,0,0,0
2023-01-01 08:30:00+00:00,0,0,13,0,1,0,0,0,0,0
2023-01-01 08:40:00+00:00,0,0,9,0,1,0,0,0,0,0
2023-01-01 08:50:00+00:00,0,0,15,0,0,0,0,0,0,0
2023-01-01 09:00:00+00:00,0,0,9,0,1,0,0,0,0,0
2023-01-01 09:10:00+00:00,0,0,13,0,5,0,0,0,0,0
2023-01-01 09:20:00+00:00,0,0,21,0,6,0,0,0,0,0
2023-01-01 09:30:00+00:00,0,0,19,0,2,0,0,0,0,0
2023-01-01 09:40:00+00:00,0,0,18,0,2,0,0,0,0,0
2023-01-01 09:50:00+00:00,0,0,19,0,1,0,0,0,0,0
2023-01-01 10:00:00+00:00,0,0,25,0,2,0,0,0,0,0
2023-01-01 10:10:00+00:00,0,0,25,0,1,0,0,0,0,0
2023-01-01 10:20:00+00:00,0,0,19,0,0,0,0,0,0,0
2023-01-01 10:30:00+00:00,0,0,28,0,2,0,0,0,0,0
2023-01-01 10:40:00+00:00,0,0,35,0,1,0,0,0,0,0
2023-01-01 10:50:00+00:00,0,0,31,0,2,0,0,0,0,0
2023-01-01 11:00:00+00:00,0,0,41,0,1,0,0,0,0,0
2023-01-01 11:10:00+00:00,0,0,32,0,1,0,0,0,0,0
2023-01-01 11:20:00+00:00,0,0,44,0,0,0,0,0,0,0
2023-01-01 11:30:00+00:00,0,0,35,0,2,0,0,0,0,0
2023-01-01 11:40:00+00:00,0,0,44,1,3,0,0,0,0,0
2023-01-01 11:50:00+00:00,0,0,52,0,4,0,2,0,0,0
2023-01-01 12:00:00+00:00,0,0,42,0,0,0,0,0,0,0
2023-01-01 12:10:00+00:00,0,0,53,0,4,0,0,0,0,0
2023-01-01 12:20:00+00:00,0,0,38,0,3,0,0,0,0,0
2023-01-01 12:30:00+00:00,1,0,51,0,1,0,0,0,0,0
2023-01-01 12:40:00+00:00,0,0,53,0,3,0,0,0,0,0
2023-01-01 12:50:00+00:00,0,0,51,0,1,0,0,0,0,0
2023-01-01 13:00:00+00:00,0,0,60,0,4,0,0,0,0,0
2023-01-01 13:10:00+00:00,0,0,54,0,1,0,0,0,0,0
2023-01-01 13:20:00+00:00,0,0,57,0,3,0,0,0,0,0
2023-01-01 13:30:00+00:00,0,0,50,0,5,0,0,0,0,0
2023-01-01 13:40:00+00:00,0,0,45,0,3,0,0,0,0,0
2023-01-01 13:50:00+00:00,0,0,54,0,2,0,0,0,0,0
2023-01-01 14:00:00+00:00,0,0,49,0,2,0,0,0,0,0
2023-01-01 14:10:00+00:00,0,0,63,0,4,0,0,0,0,0
2023-01-01 14:20:00+00:00,0,0,45,0,5,0,1,0,0,0
2023-01-01 14:30:00+00:00,0,0,41,0,9,0,0,0,0,0
2023-01-01 14:40:00+00:00,0,0,61,0,4,0,0,0,0,0
2023-01-01 14:50:00+00:00,0,0,54,0,6,0,0,0,0,0
2023-01-01 15:00:00+00:00,0,0,48,0,3,1,0,0,0,0
2023-01-01 15:10:00+00:00,0,0,59,0,3,0,0,0,0,0
2023-01-01 15:20:00+00:00,0,0,58,0,6,0,0,0,0,0
2023-01-01 15:30:00+00:00,0,0,57,0,3,0,0,0,0,0
2023-01-01 15:40:00+00:00,0,0,55,0,6,0,0,0,0,0
2023-01-01 15:50:00+00:00,0,0,54,0,2,0,0,0,0,0
2023-01-01 16:00:00+00:00,0,0,49,0,1,0,0,0,0,0
2023-01-01 16:10:00+00:00,0,0,45,0,5,0,1,0,0,0
2023-01-01 16:20:00+00:00,0,0,50,0,4,0,0,0,0,0
2023-01-01 16:30:00+00:00,0,0,54,0,5,0,0,0,0,0
2023-01-01 16:40:00+00:00,0,0,46,0,3,0,0,0,0,0
2023-01-01 16:50:00+00:00,0,0,51,0,5,0,0,0,0,0
2023-01-01 17:00:00+00:00,1,0,36,0,3,0,0,0,0,0
2023-01-01 17:10:00+00:00,0,0,39,0,6,0,0,0,0,0
2023-01-01 17:20:00+00:00,0,0,60,0,3,0,0,0,0,0
2023-01-01 17:30:00+00:00,0,0,50,0,1,0,0,0,0,0
2023-01-01 17:40:00+00:00,0,0,43,0,4,0,0,0,0,0
2023-01-01 17:50:00+00:00,1,0,42,1,2,0,0,0,0,0
2023-01-01 18:00:00+00:00,0,0,29,0,5,0,0,0,0,0
2023-01-01 18:10:00+00:00,0,0,49,1,3,0,0,0,0,0
2023-01-01 18:20:00+00:00,0,0,45,0,3,0,0,0,0,0
2023-01-01 18:30:00+00:00,0,0,40,0,2,0,0,0,0,0
2023-01-01 18:40:00+00:00,0,1,39,0,6,0,0,0,0,0
2023-01-01 18:50:00+00:00,0,0,37,0,3,0,0,0,0,0
