,PKW (S),Transporter (S),Fahrräder,Transporter (R),Kleintransporter (R),Kleintransporter (S),Motorrad (R),LKW (R),Motorrad (S),PKW (R),LKW (S)
2022-12-31 23:10:00+00:00,10,6,1,0,0,1,0,0,1,8,1
2022-12-31 23:20:00+00:00,7,3,1,1,0,0,0,0,0,1,1
2022-12-31 23:30:00+00:00,10,2,0,0,0,0,1,0,0,3,0
2022-12-31 23:40:00+00:00,10,8,3,0,0,0,0,0,0,3,2
2022-12-31 23:50:00+00:00,23,4,3,0,0,0,0,0,0,9,0
2023-01-01 00:00:00+00:00,19,9,2,1,0,0,0,0,0,13,1
2023-01-01 00:10:00+00:00,16,12,1,0,0,0,0,0,0,9,1
2023-01-01 00:20:00+00:00,24,10,2,0,0,0,0,0,1,11,3
2023-01-01 00:30:00+00:00,26,9,1,0,0,0,0,0,0,18,2
2023-01-01 00:40:00+00:00,26,14,1,0,0,0,0,0,1,16,0
2023-01-01 00:50:00+00:00,26,9,3,0,0,0,0,0,1,13,1
2023-01-01 01:00:00+00:00,33,10,3,1,0,0,0,0,1,16,0
2023-01-01 01:10:00+00:00,17,14,3,0,0,0,0,0,0,20,1
2023-01-01 01:20:00+00:00,18,12,3,0,0,0,0,0,0,13,0
2023-01-01 01:30:00+00:00,24,11,1,2,0,1,0,0,0,16,0
2023-01-01 01:40:00+00:00,30,9,10,2,0,0,0,0,0,13,0
2023-01-01 01:50:00+00:00,16,13,1,0,0,1,0,0,0,8,1
2023-01-01 02:00:00+00:00,18,6,3,0,0,0,0,0,0,12,0
2023-01-01 02:10:00+00:00,16,6,2,0,0,1,0,0,0,11,1
2023-01-01 02:20:00+00:00,13,7,2,2,0,1,0,0,0,13,0
2023-01-01 02:30:00+00:00,8,5,3,0,0,1,0,0,1,9,2
2023-01-01 02:40:00+00:00,12,3,4,1,0,0,0,0,2,9,0
2023-01-01 02:50:00+00:00,13,7,2,0,0,0,0,0,1,5,0
2023-01-01 03:00:00+00:00,9,1,0,0,0,1,0,0,0,5,1
2023-01-01 03:10:00+00:00,9,3,0,0,0,0,0,0,0,8,1
2023-01-01 03:20:00+00:00,12,6,2,1,0,0,0,0,1,10,0
2023-01-01 03:30:00+00:00,12,7,2,0,0,0,0,0,0,12,0
2023-01-01 03:40:00+00:00,7,5,2,0,0,0,0,0,0,8,0
2023-01-01 03:50:00+00:00,16,4,2,0,0,1,0,0,0,4,0
2023-01-01 04:00:00+00:00,11,3,3,0,0,2,0,0,0,9,0
2023-01-01 04:10:00+00:00,6,7,1,0,0,0,0,0,0,6,0
2023-01-01 04:20:00+00:00,8,10,0,0,0,0,0,0,0,9,0
2023-01-01 04:30:00+00:00,8,2,2,0,0,0,0,0,0,3,0
2023-01-01 04:40:00+00:00,9,7,1,0,0,0,0,0,0,7,0
2023-01-01 04:50:00+00:00,13,7,1,0,0,0,0,0,0,8,0
2023-01-01 05:00:00+00:00,12,5,0,0,0,0,0,0,0,13,0
2023-01-01 05:10:00+00:00,5,6,6,1,0,0,0,0,0,4,2
2023-01-01 05:20:00+00:00,9,3,1,0,0,0,0,0,0,10,2
2023-01-01 05:30:00+00:00,7,5,1,0,0,2,0,0,0,8,0
2023-01-01 05:40:00+00:00,7,3,1,0,0,1,0,0,2,6,1
2023-01-01 05:50:00+00:00,3,1,2,1,0,0,0,0,0,6,0
2023-01-01 06:00:00+00:00,3,3,0,0,0,0,0,0,0,8,1
2023-01-01 06:10:00+00:00,5,2,0,1,0,1,0,0,0,3,0
2023-01-01 06:20:00+00:00,9,7,0,1,0,0,0,0,0,4,0
2023-01-01 06:30:00+00:00,11,5,1,1,0,1,0,0,0,4,1
2023-01-01 06:40:00+00:00,7,3,1,2,0,0,0,0,0,2,0
2023-01-01 06:50:00+00:00,3,0,1,1,0,0,0,0,0,2,0
2023-01-01 07:00:00+00:00,6,3,1,0,0,1,0,0,0,1,0
2023-01-01 07:10:00+00:00,5,3,1,0,0,3,0,0,0,4,4
2023-01-01 07:20:00+00:00,5,3,1,0,0,0,0,0,0,4,0
2023-01-01 07:30:00+00:00,4,2,1,0,0,2,0,0,0,2,1
2023-01-01 07:40:00+00:00,5,0,2,0,0,1,0,0,0,4,1
2023-01-01 07:50:00+00:00,2,3,1,1,0,0,0,0,0,1,0
2023-01-01 08:00:00+00:00,8,3,0,1,0,0,0,0,0,6,2
2023-01-01 08:10:00+00:00,7,2,1,0,0,0,0,0,0,5,0
2023-01-01 08:20:00+00:00,9,0,0,0,0,0,0,0,0,5,0
2023-01-01 08:30:00+00:00,10,2,0,0,0,0,0,0,0,8,0
2023-01-01 08:40:00+00:00,5,3,1,1,0,0,0,0,0,10,0
2023-01-01 08:50:00+00:00,7,3,1,0,0,0,0,0,0,5,0
2023-01-01 09:00:00+00:00,14,7,1,1,0,0,0,0,0,10,0
2023-01-01 09:10:00+00:00,19,4,1,0,0,0,0,0,0,4,0
2023-01-01 09:20:00+00:00,17,4,0,0,0,0,0,0,1,4,0
2023-01-01 09:30:00+00:00,22,5,1,0,0,0,0,0,0,10,1
2023-01-01 09:40:00+00:00,26,4,4,2,0,0,0,0,0,7,0
2023-01-01 09:50:00+00:00,24,6,2,0,0,1,0,0,3,15,1
2023-01-01 10:00:00+00:00,20,3,0,0,0,0,0,0,0,13,0
2023-01-01 10:10:00+00:00,31,5,3,0,0,2,0,0,0,9,5
2023-01-01 10:20:00+00:00,26,5,3,0,0,0,0,0,0,18,0
2023-01-01 10:30:00+00:00,24,10,2,0,0,0,0,0,0,13,0
2023-01-01 10:40:00+00:00,35,4,1,0,0,0,0,0,0,14,0
2023-01-01 10:50:00+00:00,39,8,3,0,0,0,0,0,0,15,1
2023-01-01 11:00:00+00:00,30,9,2,0,0,0,0,1,1,15,0
2023-01-01 11:10:00+00:00,26,9,4,0,0,0,0,0,0,18,0
2023-01-01 11:20:00+00:00,31,5,1,2,0,0,0,0,0,18,0
2023-01-01 11:30:00+00:00,36,8,7,1,0,0,0,1,0,21,1
2023-01-01 11:40:00+00:00,31,5,5,0,0,0,0,0,2,15,1
2023-01-01 11:50:00+00:00,42,7,2,1,0,0,0,0,0,17,0
2023-01-01 12:00:00+00:00,41,12,0,0,0,0,0,0,1,16,1
2023-01-01 12:10:00+00:00,51,4,2,2,0,0,0,0,0,22,2
2023-01-01 12:20:00+00:00,44,12,3,1,0,0,0,0,1,14,0
2023-01-01 12:30:00+00:00,40,12,2,1,0,0,0,0,1,13,0
2023-01-01 12:40:00+00:00,33,9,4,2,0,0,0,0,0,19,0
2023-01-01 12:50:00+00:00,28,10,7,0,0,0,0,0,1,13,0
2023-01-01 13:00:00+00:00,47,12,3,0,0,0,0,0,1,23,4
2023-01-01 13:10:00+00:00,38,11,3,1,0,0,0,0,1,15,1
2023-01-01 13:20:00+00:00,40,13,1,1,0,0,0,0,0,23,0
2023-01-01 13:30:00+00:00,56,8,3,1,0,0,0,0,0,16,0
2023-01-01 13:40:00+00:00,30,12,4,0,0,1,0,0,2,19,0
2023-01-01 13:50:00+00:00,39,12,3,0,0,0,0,0,2,16,0
2023-01-01 14:00:00+00:00,35,16,4,0,0,0,0,0,0,13,2
2023-01-01 14:10:00+00:00,50,9,0,0,0,0,0,0,0,18,2
2023-01-01 14:20:00+00:00,54,11,3,1,0,0,0,0,1,16,1
2023-01-01 14:30:00+00:00,50,16,4,2,0,0,0,0,1,20,1
2023-01-01 14:40:00+00:00,57,9,4,0,0,2,0,0,2,19,0
2023-01-01 14:50:00+00:00,39,14,2,2,0,0,0,0,0,13,1
2023-01-01 15:00:00+00:00,67,14,2,0,0,0,0,0,3,17,0
