Timestamp;Object_Id;Plausibilisiert 60min.Zählung Kfz[Fzg/h];dto_VehClass1Long.dto_VehClass1Long;.;dto_VehClass1Long.dto_VehClass1Long;dto_VehClass1Long.dto_VehClass1Long
11.09.2023 01:00;MQ 6.1 FEB Ri Innenstadt;109;;MQ 6.2 FEB Ri Neckarstadt;208;
11.09.2023 02:00;MQ 6.1 FEB Ri Innenstadt;74;;MQ 6.2 FEB Ri Neckarstadt;138;
11.09.2023 03:00;MQ 6.1 FEB Ri Innenstadt;42;;MQ 6.2 FEB Ri Neckarstadt;80;
11.09.2023 04:00;MQ 6.1 FEB Ri Innenstadt;44;;MQ 6.2 FEB Ri Neckarstadt;59;
11.09.2023 05:00;MQ 6.1 FEB Ri Innenstadt;112;;MQ 6.2 FEB Ri Neckarstadt;123;
11.09.2023 06:00;MQ 6.1 FEB Ri Innenstadt;428;;MQ 6.2 FEB Ri Neckarstadt;440;
11.09.2023 07:00;MQ 6.1 FEB Ri Innenstadt;918;;MQ 6.2 FEB Ri Neckarstadt;776;
11.09.2023 08:00;MQ 6.1 FEB Ri Innenstadt;1.515,00;;MQ 6.2 FEB Ri Neckarstadt;1.261,00;
11.09.2023 09:00;MQ 6.1 FEB Ri Innenstadt;1.606,00;;MQ 6.2 FEB Ri Neckarstadt;1.282,00;
11.09.2023 10:00;MQ 6.1 FEB Ri Innenstadt;1.371,00;;MQ 6.2 FEB Ri Neckarstadt;1.336,00;
11.09.2023 11:00;MQ 6.1 FEB Ri Innenstadt;1.267,00;;MQ 6.2 FEB Ri Neckarstadt;1.203,00;
11.09.2023 12:00;MQ 6.1 FEB Ri Innenstadt;1.196,00;;MQ 6.2 FEB Ri Neckarstadt;1.383,00;
11.09.2023 13:00;MQ 6.1 FEB Ri Innenstadt;1.098,00;;MQ 6.2 FEB Ri Neckarstadt;1.387,00;
11.09.2023 14:00;MQ 6.1 FEB Ri Innenstadt;1.193,00;;MQ 6.2 FEB Ri Neckarstadt;1.322,00;
11.09.2023 15:00;MQ 6.1 FEB Ri Innenstadt;1.343,00;;MQ 6.2 FEB Ri Neckarstadt;1.415,00;
11.09.2023 16:00;MQ 6.1 FEB Ri Innenstadt;1.420,00;;MQ 6.2 FEB Ri Neckarstadt;1.649,00;
11.09.2023 17:00;MQ 6.1 FEB Ri Innenstadt;1.380,00;;MQ 6.2 FEB Ri Neckarstadt;1.717,00;
11.09.2023 18:00;MQ 6.1 FEB Ri Innenstadt;1.252,00;;MQ 6.2 FEB Ri Neckarstadt;1.606,00;
11.09.2023 19:00;MQ 6.1 FEB Ri Innenstadt;1.103,00;;MQ 6.2 FEB Ri Neckarstadt;1.376,40;
11.09.2023 20:00;MQ 6.1 FEB Ri Innenstadt;817;;MQ 6.2 FEB Ri Neckarstadt;1.342,00;
11.09.2023 21:00;MQ 6.1 FEB Ri Innenstadt;655;;MQ 6.2 FEB Ri Neckarstadt;974;
11.09.2023 22:00;MQ 6.1 FEB Ri Innenstadt;480;;MQ 6.2 FEB Ri Neckarstadt;695;
11.09.2023 23:00;MQ 6.1 FEB Ri Innenstadt;386;;MQ 6.2 FEB Ri Neckarstadt;585;
11.09.2023 23:59;MQ 6.1 FEB Ri Innenstadt;187;;MQ 6.2 FEB Ri Neckarstadt;326;
12.09.2023 01:00;MQ 6.1 FEB Ri Innenstadt;98;;MQ 6.2 FEB Ri Neckarstadt;235;
12.09.2023 02:00;MQ 6.1 FEB Ri Innenstadt;64;;MQ 6.2 FEB Ri Neckarstadt;111;
12.09.2023 03:00;MQ 6.1 FEB Ri Innenstadt;50;;MQ 6.2 FEB Ri Neckarstadt;80;
12.09.2023 04:00;MQ 6.1 FEB Ri Innenstadt;58;;MQ 6.2 FEB Ri Neckarstadt;55;
12.09.2023 05:00;MQ 6.1 FEB Ri Innenstadt;116;;MQ 6.2 FEB Ri Neckarstadt;99;
12.09.2023 06:00;MQ 6.1 FEB Ri Innenstadt;422;;MQ 6.2 FEB Ri Neckarstadt;432;
