Timestamp;Object_Id;Plausibilisiert 60min.Zählung Kfz[Fzg/h];dto_VehClass1Long.dto_VehClass1Long;.;dto_VehClass1Long.dto_VehClass1Long;dto_VehClass1Long.dto_VehClass1Long
11.09.2023 01:00;MQ 4.1 JBB Ri Innenstadt;140;;MQ 4.2 JBB Ri Neckarstadt;164;
11.09.2023 02:00;MQ 4.1 JBB Ri Innenstadt;71;;MQ 4.2 JBB Ri Neckarstadt;76;
11.09.2023 03:00;MQ 4.1 JBB Ri Innenstadt;39;;MQ 4.2 JBB Ri Neckarstadt;70;
11.09.2023 04:00;MQ 4.1 JBB Ri Innenstadt;42;;MQ 4.2 JBB Ri Neckarstadt;68;
11.09.2023 05:00;MQ 4.1 JBB Ri Innenstadt;188;;MQ 4.2 JBB Ri Neckarstadt;240,9;
11.09.2023 06:00;MQ 4.1 JBB Ri Innenstadt;552;;MQ 4.2 JBB Ri Neckarstadt;981,8;
11.09.2023 07:00;MQ 4.1 JBB Ri Innenstadt;972;;MQ 4.2 JBB Ri Neckarstadt;1.125,90;
11.09.2023 08:00;MQ 4.1 JBB Ri Innenstadt;1.361,00;;MQ 4.2 JBB Ri Neckarstadt;1.213,90;
11.09.2023 09:00;MQ 4.1 JBB Ri Innenstadt;1.185,00;;MQ 4.2 JBB Ri Neckarstadt;1.187,20;
11.09.2023 10:00;MQ 4.1 JBB Ri Innenstadt;941;;MQ 4.2 JBB Ri Neckarstadt;933;
11.09.2023 11:00;MQ 4.1 JBB Ri Innenstadt;889;;MQ 4.2 JBB Ri Neckarstadt;880;
11.09.2023 12:00;MQ 4.1 JBB Ri Innenstadt;879;;MQ 4.2 JBB Ri Neckarstadt;933;
11.09.2023 13:00;MQ 4.1 JBB Ri Innenstadt;911;;MQ 4.2 JBB Ri Neckarstadt;1.046,00;
11.09.2023 14:00;MQ 4.1 JBB Ri Innenstadt;1.003,00;;MQ 4.2 JBB Ri Neckarstadt;1.239,00;
11.09.2023 15:00;MQ 4.1 JBB Ri Innenstadt;1.345,00;;MQ 4.2 JBB Ri Neckarstadt;1.271,90;
11.09.2023 16:00;MQ 4.1 JBB Ri Innenstadt;1.365,00;;MQ 4.2 JBB Ri Neckarstadt;1.309,00;
11.09.2023 17:00;MQ 4.1 JBB Ri Innenstadt;1.419,00;;MQ 4.2 JBB Ri Neckarstadt;1.469,00;
11.09.2023 18:00;MQ 4.1 JBB Ri Innenstadt;1.226,00;;MQ 4.2 JBB Ri Neckarstadt;1.285,00;
11.09.2023 19:00;MQ 4.1 JBB Ri Innenstadt;947;;MQ 4.2 JBB Ri Neckarstadt;971,1;
11.09.2023 20:00;MQ 4.1 JBB Ri Innenstadt;658;;MQ 4.2 JBB Ri Neckarstadt;798;
11.09.2023 21:00;MQ 4.1 JBB Ri Innenstadt;577;;MQ 4.2 JBB Ri Neckarstadt;639;
11.09.2023 22:00;MQ 4.1 JBB Ri Innenstadt;435;;MQ 4.2 JBB Ri Neckarstadt;558,1;
11.09.2023 23:00;MQ 4.1 JBB Ri Innenstadt;429;;MQ 4.2 JBB Ri Neckarstadt;379,1;
11.09.2023 23:59;MQ 4.1 JBB Ri Innenstadt;269;;MQ 4.2 JBB Ri Neckarstadt;246;
12.09.2023 01:00;MQ 4.1 JBB Ri Innenstadt;186;;MQ 4.2 JBB Ri Neckarstadt;151;
12.09.2023 02:00;MQ 4.1 JBB Ri Innenstadt;86;;MQ 4.2 JBB Ri Neckarstadt;69;
12.09.2023 03:00;MQ 4.1 JBB Ri Innenstadt;44;;MQ 4.2 JBB Ri Neckarstadt;48;
12.09.2023 04:00;MQ 4.1 JBB Ri Innenstadt;56;;MQ 4.2 JBB Ri Neckarstadt;75;
12.09.2023 05:00;MQ 4.1 JBB Ri Innenstadt;163;;MQ 4.2 JBB Ri Neckarstadt;248,9;
12.09.2023 06:00;MQ 4.1 JBB Ri Innenstadt;567;;MQ 4.2 JBB Ri Neckarstadt;1.003,80;
12.09.2023 07:00;MQ 4.1 JBB Ri Innenstadt;959;;MQ 4.2 JBB Ri Neckarstadt;1.129,00;
12.09.2023 08:00;MQ 4.1 JBB Ri Innenstadt;1.373,00;;MQ 4.2 JBB Ri Neckarstadt;1.284,90;
12.09.2023 09:00;MQ 4.1 JBB Ri Innenstadt;1.222,00;;MQ 4.2 JBB Ri Neckarstadt;1.188,20;
12.09.2023 10:00;MQ 4.1 JBB Ri Innenstadt;927;;MQ 4.2 JBB Ri Neckarstadt;894;
12.09.2023 11:00;MQ 4.1 JBB Ri Innenstadt;853;;MQ 4.2 JBB Ri Neckarstadt;856;
12.09.2023 12:00;MQ 4.1 JBB Ri Innenstadt;844;;MQ 4.2 JBB Ri Neckarstadt;884,1;
12.09.2023 13:00;MQ 4.1 JBB Ri Innenstadt;923;;MQ 4.2 JBB Ri Neckarstadt;1.030,90;
12.09.2023 14:00;MQ 4.1 JBB Ri Innenstadt;1.062,00;;MQ 4.2 JBB Ri Neckarstadt;1.240,00;
12.09.2023 15:00;MQ 4.1 JBB Ri Innenstadt;1.398,00;;MQ 4.2 JBB Ri Neckarstadt;1.309,00;
12.09.2023 16:00;MQ 4.1 JBB Ri Innenstadt;1.372,00;;MQ 4.2 JBB Ri Neckarstadt;1.389,90;
12.09.2023 17:00;MQ 4.1 JBB Ri Innenstadt;1.441,00;;MQ 4.2 JBB Ri Neckarstadt;1.430,00;
12.09.2023 18:00;MQ 4.1 JBB Ri Innenstadt;1.235,00;;MQ 4.2 JBB Ri Neckarstadt;1.341,10;
12.09.2023 19:00;MQ 4.1 JBB Ri Innenstadt;986;;MQ 4.2 JBB Ri Neckarstadt;1.120,10;
12.09.2023 20:00;MQ 4.1 JBB Ri Innenstadt;701;;MQ 4.2 JBB Ri Neckarstadt;820,1;
12.09.2023 21:00;MQ 4.1 JBB Ri Innenstadt;582;;MQ 4.2 JBB Ri Neckarstadt;656;
12.09.2023 22:00;MQ 4.1 JBB Ri Innenstadt;456;;MQ 4.2 JBB Ri Neckarstadt;582;
12.09.2023 23:00;MQ 4.1 JBB Ri Innenstadt;409;;MQ 4.2 JBB Ri Neckarstadt;459,1;
12.09.2023 23:59;MQ 4.1 JBB Ri Innenstadt;301;;MQ 4.2 JBB Ri Neckarstadt;276;
13.09.2023 01:00;MQ 4.1 JBB Ri Innenstadt;204;;MQ 4.2 JBB Ri Neckarstadt;142;
13.09.2023 02:00;MQ 4.1 JBB Ri Innenstadt;90;;MQ 4.2 JBB Ri Neckarstadt;108;
13.09.2023 03:00;MQ 4.1 JBB Ri Innenstadt;58;;MQ 4.2 JBB Ri Neckarstadt;68;
13.09.2023 04:00;MQ 4.1 JBB Ri Innenstadt;50;;MQ 4.2 JBB Ri Neckarstadt;60;
13.09.2023 05:00;MQ 4.1 JBB Ri Innenstadt;131;;MQ 4.2 JBB Ri Neckarstadt;263,9;
13.09.2023 06:00;MQ 4.1 JBB Ri Innenstadt;543;;MQ 4.2 JBB Ri Neckarstadt;1.037,80;
13.09.2023 07:00;MQ 4.1 JBB Ri Innenstadt;1.046,00;;MQ 4.2 JBB Ri Neckarstadt;1.230,10;
13.09.2023 08:00;MQ 4.1 JBB Ri Innenstadt;1.432,00;;MQ 4.2 JBB Ri Neckarstadt;1.302,90;
13.09.2023 09:00;MQ 4.1 JBB Ri Innenstadt;1.236,00;;MQ 4.2 JBB Ri Neckarstadt;1.337,00;
13.09.2023 10:00;MQ 4.1 JBB Ri Innenstadt;981;;MQ 4.2 JBB Ri Neckarstadt;953,1;
13.09.2023 11:00;MQ 4.1 JBB Ri Innenstadt;859;;MQ 4.2 JBB Ri Neckarstadt;890;
13.09.2023 12:00;MQ 4.1 JBB Ri Innenstadt;874;;MQ 4.2 JBB Ri Neckarstadt;900;
13.09.2023 13:00;MQ 4.1 JBB Ri Innenstadt;888;;MQ 4.2 JBB Ri Neckarstadt;1.094,00;
13.09.2023 14:00;MQ 4.1 JBB Ri Innenstadt;1.069,00;;MQ 4.2 JBB Ri Neckarstadt;1.237,10;
13.09.2023 15:00;MQ 4.1 JBB Ri Innenstadt;1.419,00;;MQ 4.2 JBB Ri Neckarstadt;1.312,00;
