timestamp,SC1,SC2,SC3,SC4,SC5,Bikes
2024-04-09 22:50:00,0,40,0,5,3,10
2024-04-09 22:40:00,0,45,0,7,1,7
2024-04-09 22:30:00,1,40,1,10,2,6
2024-04-09 22:20:00,1,34,0,6,1,6
2024-04-09 22:10:00,0,35,2,9,2,11
2024-04-09 22:00:00,1,53,1,11,4,5
2024-04-09 21:50:00,0,44,1,5,3,13
2024-04-09 21:40:00,1,50,1,19,3,14
2024-04-09 21:30:00,0,50,1,9,1,9
2024-04-09 21:20:00,0,38,0,11,7,6
2024-04-09 21:10:00,0,56,0,9,0,10
2024-04-09 21:00:00,2,42,1,11,3,7
2024-04-09 20:50:00,0,39,0,8,0,6
2024-04-09 20:40:00,1,46,2,5,0,9
2024-04-09 20:30:00,0,35,0,10,1,11
2024-04-09 20:20:00,1,68,0,14,3,9
2024-04-09 20:10:00,1,55,1,13,2,11
2024-04-09 20:00:00,3,41,0,9,1,13
2024-04-09 19:50:00,1,68,1,21,1,11
2024-04-09 19:40:00,1,46,2,11,4,10
2024-04-09 19:30:00,2,56,0,21,1,16
2024-04-09 19:20:00,0,62,1,19,4,12
2024-04-09 19:10:00,3,48,0,17,0,24
2024-04-09 19:00:00,1,77,1,14,3,19
2024-04-09 18:50:00,0,76,1,12,6,17
2024-04-09 18:40:00,0,78,1,15,3,17
2024-04-09 18:30:00,3,97,1,18,4,14
2024-04-09 18:20:00,3,79,1,20,0,18
2024-04-09 18:10:00,1,72,0,17,1,11
2024-04-09 18:00:00,1,76,1,26,1,30
2024-04-09 17:50:00,1,82,1,21,6,30
2024-04-09 17:40:00,2,84,1,24,2,16
2024-04-09 17:30:00,2,84,1,24,2,17
2024-04-09 17:20:00,0,69,4,28,3,21
2024-04-09 17:10:00,4,89,0,18,3,12
2024-04-09 17:00:00,1,73,3,17,0,16
2024-04-09 16:50:00,1,99,1,42,2,13
2024-04-09 16:40:00,3,71,3,21,1,19
2024-04-09 16:30:00,2,84,1,19,1,16
2024-04-09 16:20:00,1,100,2,22,3,16
2024-04-09 16:10:00,0,80,1,27,2,13
2024-04-09 16:00:00,0,85,0,24,1,18
2024-04-09 15:50:00,2,91,1,26,3,15
2024-04-09 15:40:00,2,80,3,22,5,10
2024-04-09 15:30:00,0,99,4,22,1,9
2024-04-09 15:20:00,2,85,1,20,3,8
2024-04-09 15:10:00,4,82,0,19,0,8
2024-04-09 15:00:00,0,94,4,32,5,5
2024-04-09 14:50:00,1,86,1,10,0,12
2024-04-09 14:40:00,0,103,2,25,3,11
2024-04-09 14:30:00,1,63,0,21,3,11
2024-04-09 14:20:00,2,93,4,21,3,4
2024-04-09 14:10:00,2,66,0,19,3,11
2024-04-09 14:00:00,0,81,0,17,2,4
2024-04-09 13:50:00,1,64,0,16,1,12
2024-04-09 13:40:00,0,60,4,14,4,11
2024-04-09 13:30:00,0,66,2,17,1,11
2024-04-09 13:20:00,3,66,1,21,3,11
2024-04-09 13:10:00,2,58,0,14,2,8
2024-04-09 13:00:00,1,63,3,14,1,8
2024-04-09 12:50:00,0,66,1,18,0,2
2024-04-09 12:40:00,1,68,1,18,0,11
2024-04-09 12:30:00,0,75,0,20,2,7
2024-04-09 12:20:00,1,56,1,15,0,13
2024-04-09 12:10:00,1,54,0,14,0,9
2024-04-09 12:00:00,0,72,4,13,6,6
2024-04-09 11:50:00,0,75,1,16,1,6
2024-04-09 11:40:00,0,62,3,17,1,6
2024-04-09 11:30:00,0,52,0,15,1,8
2024-04-09 11:20:00,2,56,1,17,3,4
2024-04-09 11:10:00,1,70,1,13,2,7
2024-04-09 11:00:00,0,78,0,18,1,6
2024-04-09 10:50:00,0,58,0,18,1,9
2024-04-09 10:40:00,3,70,0,13,1,5
2024-04-09 10:30:00,0,46,0,23,0,9
2024-04-09 10:20:00,1,57,3,23,0,8
2024-04-09 10:10:00,0,74,0,24,4,11
2024-04-09 10:00:00,3,75,5,21,5,9
2024-04-09 09:50:00,2,73,0,28,2,14
2024-04-09 09:40:00,1,63,0,17,3,7
2024-04-09 09:30:00,1,60,1,15,1,12
2024-04-09 09:20:00,1,78,4,23,1,13
2024-04-09 09:10:00,4,63,1,24,3,23
2024-04-09 09:00:00,1,52,3,29,2,27
2024-04-09 08:50:00,1,80,0,29,1,21
2024-04-09 08:40:00,3,75,0,24,1,35
2024-04-09 08:30:00,0,60,1,28,2,36
2024-04-09 08:20:00,3,78,0,41,0,25
2024-04-09 08:10:00,5,56,0,34,1,31
2024-04-09 08:00:00,1,76,2,45,1,36
2024-04-09 07:50:00,2,85,0,26,2,30
2024-04-09 07:40:00,2,57,3,29,5,19
2024-04-09 07:30:00,2,64,0,24,1,19
2024-04-09 07:20:00,1,75,0,22,2,13
2024-04-09 07:10:00,0,62,0,13,1,14
2024-04-09 07:00:00,5,63,0,20,3,11
2024-04-09 06:50:00,1,75,1,19,1,8
2024-04-09 06:40:00,1,37,1,17,0,5
2024-04-09 06:30:00,0,60,1,16,0,7
2024-04-09 06:20:00,0,32,1,13,0,6
2024-04-09 06:10:00,0,43,0,13,4,6
2024-04-09 06:00:00,1,47,1,10,1,11
2024-04-09 05:50:00,0,31,0,7,1,5
2024-04-09 05:40:00,0,35,0,4,0,10
2024-04-09 05:30:00,1,20,0,6,1,4
2024-04-09 05:20:00,0,27,0,3,0,2
2024-04-09 05:10:00,0,22,0,2,0,0
2024-04-09 05:00:00,0,14,1,3,1,4
2024-04-09 04:50:00,0,10,0,3,0,4
2024-04-09 04:40:00,0,6,0,2,0,2
2024-04-09 04:30:00,0,6,0,0,0,1
2024-04-09 04:20:00,0,4,0,2,0,2
2024-04-09 04:10:00,0,4,0,1,1,0
