timestamp,SC1,SC2,SC3,SC4,SC5,Bikes
2023-12-11 23:50:00,0,19,1,6,1,3
2023-12-11 23:40:00,0,24,1,9,0,5
2023-12-11 23:30:00,0,20,0,1,0,1
2023-12-11 23:20:00,0,34,0,4,0,5
2023-12-11 23:10:00,0,22,2,4,1,5
2023-12-11 23:00:00,0,26,1,4,0,4
2023-12-11 22:50:00,0,38,0,4,0,8
2023-12-11 22:40:00,1,36,1,6,1,10
2023-12-11 22:30:00,0,37,1,9,1,10
2023-12-11 22:20:00,0,38,0,6,0,11
2023-12-11 22:10:00,1,43,0,10,2,5
2023-12-11 22:00:00,1,38,1,4,1,6
2023-12-11 21:50:00,0,35,1,4,0,7
2023-12-11 21:40:00,0,45,0,3,1,8
2023-12-11 21:30:00,0,37,0,4,0,7
2023-12-11 21:20:00,1,52,0,7,0,8
2023-12-11 21:10:00,2,46,1,5,0,10
2023-12-11 21:00:00,0,38,0,9,0,7
2023-12-11 20:50:00,0,38,0,9,0,14
2023-12-11 20:40:00,2,54,1,2,0,10
2023-12-11 20:30:00,1,40,1,0,0,10
2023-12-11 20:20:00,1,74,1,5,1,9
2023-12-11 20:10:00,1,50,1,10,0,14
2023-12-11 20:00:00,1,53,0,11,0,10
2023-12-11 19:50:00,1,71,2,8,1,12
2023-12-11 19:40:00,0,70,0,8,0,26
2023-12-11 19:30:00,0,65,1,2,0,21
2023-12-11 19:20:00,1,61,2,9,0,11
2023-12-11 19:10:00,0,66,0,14,0,20
2023-12-11 19:00:00,0,84,2,14,2,13
2023-12-11 18:50:00,0,111,0,16,0,14
2023-12-11 18:40:00,0,68,2,18,1,18
2023-12-11 18:30:00,0,70,0,17,1,13
2023-12-11 18:20:00,2,96,0,15,1,19
2023-12-11 18:10:00,0,77,0,19,3,30
2023-12-11 18:00:00,0,114,3,17,1,24
2023-12-11 17:50:00,0,84,2,11,4,20
2023-12-11 17:40:00,1,98,1,28,2,18
2023-12-11 17:30:00,2,102,0,14,1,21
2023-12-11 17:20:00,2,112,1,27,0,15
2023-12-11 17:10:00,0,95,1,14,1,25
2023-12-11 17:00:00,1,102,2,26,3,21
2023-12-11 16:50:00,1,104,0,20,3,10
2023-12-11 16:40:00,0,122,1,24,2,19
2023-12-11 16:30:00,4,99,1,23,0,16
2023-12-11 16:20:00,0,103,1,16,0,14
2023-12-11 16:10:00,3,91,3,21,1,22
2023-12-11 16:00:00,0,104,4,18,3,16
2023-12-11 15:50:00,3,103,1,24,6,25
2023-12-11 15:40:00,2,100,2,18,0,16
2023-12-11 15:30:00,3,93,0,20,1,22
2023-12-11 15:20:00,3,93,0,20,1,19
2023-12-11 15:10:00,2,100,0,18,1,14
