timestamp,LC1,LC2,LC3,LC4,LC5,SC1,SC2,SC3,SC4,SC5
2023-12-08 23:50:00,2,0,0,0,0,4,18,1,8,5
2023-12-08 23:40:00,1,1,0,0,0,3,24,1,9,7
2023-12-08 23:30:00,1,0,0,0,0,5,25,2,6,2
2023-12-08 23:20:00,2,0,0,0,1,2,22,1,12,5
2023-12-08 23:10:00,1,6,0,0,0,4,16,2,14,1
2023-12-08 23:00:00,0,3,0,1,1,5,31,0,15,2
2023-12-08 22:50:00,1,9,0,0,0,9,21,0,22,2
2023-12-08 22:40:00,0,1,0,1,2,5,21,1,17,3
2023-12-08 22:30:00,1,3,0,0,0,3,27,0,20,4
2023-12-08 22:20:00,1,5,0,2,1,1,39,2,18,2
2023-12-08 22:10:00,4,2,0,2,2,5,31,0,19,2
2023-12-08 22:00:00,2,2,1,0,1,8,35,0,22,0
2023-12-08 21:50:00,1,5,0,2,0,4,35,0,17,0
2023-12-08 21:40:00,2,3,0,0,1,2,29,0,20,0
2023-12-08 21:30:00,1,4,0,0,0,2,39,0,12,1
2023-12-08 21:20:00,0,1,0,0,2,2,37,0,13,2
2023-12-08 21:10:00,0,3,0,4,1,2,33,2,18,1
2023-12-08 21:00:00,1,3,0,0,0,5,30,0,14,0
2023-12-08 20:50:00,0,2,0,0,0,1,42,0,11,0
2023-12-08 20:40:00,0,1,0,0,0,4,37,0,8,2
2023-12-08 20:30:00,5,2,0,1,0,2,34,0,21,2
2023-12-08 20:20:00,2,5,0,1,2,5,42,0,16,0
2023-12-08 20:10:00,2,1,0,0,0,4,47,0,16,0
2023-12-08 20:00:00,2,2,0,0,2,3,49,0,9,0
2023-12-08 19:50:00,0,1,0,0,0,2,60,0,20,0
2023-12-08 19:40:00,1,3,0,2,1,4,45,0,28,0
2023-12-08 19:30:00,0,2,0,1,0,4,56,0,24,2
2023-12-08 19:20:00,2,3,0,2,0,4,52,0,25,0
2023-12-08 19:10:00,4,2,0,0,2,6,53,2,19,0
2023-12-08 19:00:00,1,1,0,0,0,1,64,0,20,0
2023-12-08 18:50:00,0,1,0,1,0,2,51,0,9,2
2023-12-08 18:40:00,0,2,1,0,0,2,60,0,19,1
2023-12-08 18:30:00,0,1,0,0,1,6,64,0,17,0
2023-12-08 18:20:00,0,1,0,0,0,4,73,0,15,0
2023-12-08 18:10:00,1,1,0,1,0,4,70,0,24,0
2023-12-08 18:00:00,1,5,0,1,0,5,66,1,31,2
2023-12-08 17:50:00,2,4,0,0,0,6,78,2,27,1
2023-12-08 17:40:00,1,1,0,0,0,7,94,0,24,0
2023-12-08 17:30:00,1,1,0,0,2,4,96,0,28,1
2023-12-08 17:20:00,1,1,0,2,0,4,81,0,18,0
2023-12-08 17:10:00,2,1,0,0,0,11,71,0,25,3
2023-12-08 17:00:00,1,1,0,0,0,3,91,1,19,1
2023-12-08 16:50:00,1,1,0,0,0,4,66,0,20,1
2023-12-08 16:40:00,0,1,0,0,0,1,72,0,24,1
2023-12-08 16:30:00,0,0,0,0,0,4,77,0,17,6
2023-12-08 16:20:00,0,0,0,1,0,4,77,0,15,1
2023-12-08 16:10:00,0,0,0,0,0,6,64,0,16,2
2023-12-08 16:00:00,0,0,0,0,0,7,78,0,11,0
2023-12-08 15:50:00,0,1,0,0,0,5,82,0,11,4
2023-12-08 15:40:00,0,1,0,0,0,5,78,0,6,0
2023-12-08 15:30:00,0,0,0,0,0,2,71,0,9,2
2023-12-08 15:20:00,0,0,0,0,0,5,69,0,12,0
2023-12-08 15:10:00,0,0,1,0,1,8,68,0,11,0
2023-12-08 15:00:00,0,0,0,0,0,6,60,0,12,0
2023-12-08 14:50:00,0,0,0,0,0,8,66,0,9,4
2023-12-08 14:40:00,0,0,0,0,0,4,53,0,14,0
2023-12-08 14:30:00,0,0,0,0,0,4,62,0,15,1
2023-12-08 14:20:00,0,0,0,0,0,3,60,0,16,1
2023-12-08 14:10:00,0,0,0,0,0,2,64,0,18,0
2023-12-08 14:00:00,1,0,0,0,0,4,77,1,7,0
2023-12-08 13:50:00,0,0,0,0,0,4,72,0,25,3
2023-12-08 13:40:00,0,0,0,0,0,4,62,0,21,1
2023-12-08 13:30:00,0,0,0,0,0,5,75,1,11,1
2023-12-08 13:20:00,0,0,0,0,0,4,63,0,17,3
2023-12-08 13:10:00,0,0,0,0,0,7,61,0,16,1
2023-12-08 13:00:00,1,0,0,2,0,4,66,0,26,2
2023-12-08 12:50:00,0,0,0,2,1,8,68,0,25,3
2023-12-08 12:40:00,1,0,0,3,0,5,50,0,24,1
2023-12-08 12:30:00,1,1,0,3,0,7,54,0,32,4
2023-12-08 12:20:00,0,4,0,1,2,2,68,0,28,1
2023-12-08 12:10:00,2,5,0,3,0,6,57,0,36,0
2023-12-08 12:00:00,1,5,0,7,0,4,53,0,48,0
2023-12-08 11:50:00,1,3,0,4,0,2,42,0,25,2
2023-12-08 11:40:00,1,5,0,3,0,3,55,0,25,1
2023-12-08 11:30:00,2,2,0,4,0,1,63,0,31,1
2023-12-08 11:20:00,1,6,0,6,2,2,42,0,43,1
2023-12-08 11:10:00,2,4,0,6,0,7,60,0,46,3
2023-12-08 11:00:00,1,5,0,3,0,2,48,1,34,1
2023-12-08 10:50:00,3,3,0,4,0,3,60,0,39,0
2023-12-08 10:40:00,1,6,0,6,0,3,54,0,37,0
2023-12-08 10:30:00,1,3,1,6,0,6,63,0,42,2
2023-12-08 10:20:00,1,5,0,3,0,6,47,2,21,3
2023-12-08 10:10:00,1,8,0,2,1,5,43,1,44,1
2023-12-08 10:00:00,1,2,0,1,2,2,49,0,34,2
2023-12-08 09:50:00,1,5,0,1,0,5,53,2,43,4
2023-12-08 09:40:00,2,2,0,2,0,11,67,0,32,2
2023-12-08 09:30:00,0,5,0,7,0,2,57,3,32,0
2023-12-08 09:20:00,0,4,0,4,1,6,64,0,44,1
2023-12-08 09:10:00,1,4,0,2,1,3,50,0,36,2
2023-12-08 09:00:00,0,6,0,0,0,3,51,1,41,3
2023-12-08 08:50:00,1,4,0,2,0,7,77,0,24,3
2023-12-08 08:40:00,3,4,0,2,2,3,81,0,38,3
2023-12-08 08:30:00,1,1,0,1,0,3,74,1,38,1
2023-12-08 08:20:00,0,1,0,1,0,4,87,0,41,1
2023-12-08 08:10:00,1,3,0,1,0,16,89,2,30,3
2023-12-08 08:00:00,0,1,0,1,0,6,99,0,32,0
2023-12-08 07:50:00,0,0,0,0,0,7,100,0,28,1
2023-12-08 07:40:00,1,2,0,2,0,7,102,0,25,2
2023-12-08 07:30:00,0,1,0,1,0,2,126,0,15,1
2023-12-08 07:20:00,3,5,0,0,0,8,92,0,33,1
2023-12-08 07:10:00,2,3,0,1,0,2,102,0,41,0
2023-12-08 07:00:00,0,0,1,1,1,7,83,0,34,4
2023-12-08 06:50:00,4,4,0,1,1,11,95,1,34,4
2023-12-08 06:40:00,3,4,0,2,0,8,78,0,40,1
2023-12-08 06:30:00,3,5,0,0,0,4,99,0,24,4
2023-12-08 06:20:00,0,0,0,1,0,9,78,0,28,0
2023-12-08 06:10:00,0,1,2,0,3,7,64,1,29,0
2023-12-08 06:00:00,1,6,0,0,0,3,38,0,19,3
2023-12-08 05:50:00,3,1,0,0,1,0,51,0,13,0
2023-12-08 05:40:00,2,10,0,0,3,3,52,0,35,3
2023-12-08 05:30:00,1,3,0,0,0,8,85,0,17,2
2023-12-08 05:20:00,1,5,0,0,3,3,62,0,29,2
2023-12-08 05:10:00,4,1,0,1,3,1,34,1,24,6
2023-12-08 05:00:00,0,2,0,0,1,1,31,0,14,1
2023-12-08 04:50:00,1,4,0,0,1,4,14,0,15,0
2023-12-08 04:40:00,0,1,0,0,2,1,10,0,9,0
2023-12-08 04:30:00,1,2,0,0,1,2,12,0,19,0
2023-12-08 04:20:00,1,1,0,0,1,0,16,0,6,0
2023-12-08 04:10:00,0,3,0,0,0,3,10,0,3,0
2023-12-08 04:00:00,0,3,0,0,0,1,10,0,11,0
2023-12-08 03:50:00,0,0,0,0,0,0,4,0,5,0
2023-12-08 03:40:00,1,1,0,0,0,0,6,0,7,0
2023-12-08 03:30:00,0,0,0,0,1,1,3,0,0,0
2023-12-08 03:20:00,0,0,0,0,1,0,2,1,3,1
2023-12-08 03:10:00,0,2,0,0,0,0,5,0,5,0
2023-12-08 03:00:00,0,3,0,0,0,0,1,0,3,0
2023-12-08 02:50:00,0,0,0,1,0,0,5,0,0,0
2023-12-08 02:40:00,0,0,0,0,0,0,7,0,2,0
2023-12-08 02:30:00,0,0,0,0,0,0,3,0,1,0
2023-12-08 02:20:00,0,0,0,0,0,0,0,0,0,0
2023-12-08 02:10:00,0,0,0,0,0,0,1,0,5,0
2023-12-08 02:00:00,0,1,0,0,0,0,4,0,3,0
2023-12-08 01:50:00,0,1,0,0,0,1,1,0,2,0
2023-12-08 01:40:00,1,0,0,0,0,0,9,0,3,0
2023-12-08 01:30:00,0,1,0,0,0,0,5,0,0,0
2023-12-08 01:20:00,0,0,0,0,0,0,3,0,2,0
2023-12-08 01:10:00,0,1,0,0,0,0,1,0,1,0
2023-12-08 01:00:00,1,0,0,0,0,0,5,0,0,1
2023-12-08 00:50:00,0,0,0,0,0,0,3,0,0,1
2023-12-08 00:40:00,0,0,0,1,0,1,2,0,2,2
2023-12-08 00:30:00,0,0,0,0,1,0,0,0,2,3
2023-12-08 00:20:00,0,0,0,0,1,0,4,0,4,2
2023-12-08 00:10:00,0,0,0,0,0,0,9,0,2,0
2023-12-08 00:00:00,0,1,0,0,0,0,11,0,2,0
