timestamp,SC1,SC2,SC3,SC4,SC5,RC1,RC2,RC3,RC4,RC5,Bikes
2024-04-10 22:50:00,1,23,0,12,0,0,9,0,0,0,2
2024-04-10 22:40:00,2,36,0,15,0,0,27,0,0,0,1
2024-04-10 22:30:00,3,29,0,20,0,0,12,0,0,0,6
2024-04-10 22:20:00,1,40,0,17,0,0,23,0,2,0,2
2024-04-10 22:10:00,1,37,2,17,0,0,23,0,0,0,2
2024-04-10 22:00:00,0,36,0,23,2,0,18,0,0,0,7
2024-04-10 21:50:00,0,45,1,12,0,0,17,0,1,0,2
2024-04-10 21:40:00,6,42,0,8,1,0,16,0,0,0,4
2024-04-10 21:30:00,1,33,1,12,2,0,16,0,1,1,3
2024-04-10 21:20:00,1,4,0,6,0,0,2,0,1,0,7
2024-04-10 21:10:00,3,56,0,19,0,0,22,0,0,0,6
2024-04-10 21:00:00,5,65,0,15,1,0,18,0,0,1,5
2024-04-10 20:50:00,1,60,0,20,0,0,21,0,0,2,7
2024-04-10 20:40:00,2,53,0,17,0,0,38,0,1,1,2
2024-04-10 20:30:00,3,64,0,17,1,0,19,0,0,0,3
2024-04-10 20:20:00,1,59,0,14,0,0,21,0,1,0,8
2024-04-10 20:10:00,4,59,0,11,0,0,16,0,0,4,4
2024-04-10 20:00:00,5,74,0,16,3,0,24,0,0,0,8
2024-04-10 19:50:00,0,84,0,12,0,0,31,0,0,5,4
2024-04-10 19:40:00,3,62,0,19,1,0,26,1,0,1,9
2024-04-10 19:30:00,4,67,0,18,4,0,28,0,0,0,6
2024-04-10 19:20:00,3,91,0,24,1,0,32,0,1,1,3
2024-04-10 19:10:00,5,64,0,24,0,0,33,0,0,0,7
2024-04-10 19:00:00,2,97,0,22,1,0,34,0,0,1,10
2024-04-10 18:50:00,4,80,0,20,0,0,25,0,0,1,2
2024-04-10 18:40:00,8,96,0,18,1,0,51,0,0,0,0
2024-04-10 18:30:00,2,106,0,27,0,0,44,0,1,1,1
2024-04-10 18:20:00,1,131,0,17,1,0,43,0,2,0,4
2024-04-10 18:10:00,2,103,0,25,0,0,52,0,3,1,1
2024-04-10 18:00:00,3,122,0,21,0,0,38,0,0,3,6
2024-04-10 17:50:00,1,113,1,19,1,1,35,0,2,1,5
2024-04-10 17:40:00,6,113,0,27,0,0,41,0,1,1,7
2024-04-10 17:30:00,6,117,0,28,0,0,45,0,0,3,11
2024-04-10 17:20:00,3,111,3,24,3,1,36,0,2,2,14
2024-04-10 17:10:00,4,123,0,31,3,0,45,1,1,2,3
2024-04-10 17:00:00,7,137,0,27,0,0,43,0,2,2,2
2024-04-10 16:50:00,7,93,0,13,0,1,48,0,2,0,2
2024-04-10 16:40:00,14,84,0,29,0,0,49,0,2,3,8
2024-04-10 16:30:00,3,98,1,16,3,0,33,0,1,2,11
2024-04-10 16:20:00,5,122,0,21,0,0,59,0,3,0,7
2024-04-10 16:10:00,4,107,0,19,1,1,42,0,1,0,19
2024-04-10 16:00:00,4,119,0,25,0,0,33,0,1,1,13
2024-04-10 15:50:00,7,108,3,22,0,0,47,0,2,3,11
2024-04-10 15:40:00,5,114,1,26,1,0,33,1,0,0,13
2024-04-10 15:30:00,6,127,0,21,3,0,38,0,0,2,12
2024-04-10 15:20:00,7,104,1,25,0,0,46,0,0,2,15
2024-04-10 15:10:00,2,96,0,19,0,0,36,0,4,0,14
2024-04-10 15:00:00,3,113,1,27,0,0,45,0,1,0,8
2024-04-10 14:50:00,4,84,2,17,1,0,42,0,3,0,8
2024-04-10 14:40:00,5,89,1,24,0,1,34,0,4,0,18
2024-04-10 14:30:00,6,95,1,30,0,0,47,0,1,0,10
2024-04-10 14:20:00,1,105,0,25,1,0,34,0,2,0,8
2024-04-10 14:10:00,6,116,0,21,1,0,49,1,2,1,6
2024-04-10 14:00:00,4,104,1,20,0,0,40,1,0,2,9
2024-04-10 13:50:00,5,107,1,30,2,0,41,0,2,0,11
2024-04-10 13:40:00,2,72,0,26,0,0,23,0,1,0,10
2024-04-10 13:30:00,3,43,0,26,0,0,12,0,1,0,8
2024-04-10 13:20:00,1,67,0,31,0,0,39,0,2,1,5
2024-04-10 13:10:00,8,79,1,22,0,0,41,0,1,0,8
2024-04-10 13:00:00,8,84,0,24,0,0,37,0,2,0,10
2024-04-10 12:50:00,2,88,1,20,1,0,34,0,1,0,8
2024-04-10 12:40:00,7,66,0,28,0,0,44,0,1,1,10
2024-04-10 12:30:00,3,78,0,21,0,0,32,0,2,0,7
2024-04-10 12:20:00,5,83,0,22,0,0,34,0,1,1,8
2024-04-10 12:10:00,4,108,0,30,0,1,34,0,3,0,8
2024-04-10 12:00:00,5,90,0,31,0,0,38,0,0,1,18
2024-04-10 11:50:00,6,93,0,30,0,0,34,0,0,5,6
2024-04-10 11:40:00,2,90,0,21,0,0,28,0,4,2,12
2024-04-10 11:30:00,4,120,1,21,2,1,43,0,1,1,9
2024-04-10 11:20:00,4,71,0,19,0,0,42,0,2,1,8
2024-04-10 11:10:00,3,104,0,21,1,0,41,0,3,0,12
2024-04-10 11:00:00,3,106,2,25,5,1,40,0,0,0,9
2024-04-10 10:50:00,7,112,0,31,0,0,34,0,4,3,8
2024-04-10 10:40:00,6,98,1,26,0,0,60,0,0,0,5
2024-04-10 10:30:00,4,94,0,24,0,1,50,0,1,1,12
2024-04-10 10:20:00,8,114,1,25,1,0,46,0,3,0,7
2024-04-10 10:10:00,9,111,0,24,0,1,39,0,2,2,8
2024-04-10 10:00:00,7,110,0,35,0,0,46,0,4,0,12
2024-04-10 09:50:00,4,100,1,33,1,0,45,0,0,0,12
2024-04-10 09:40:00,2,86,2,31,2,0,57,1,2,4,19
2024-04-10 09:30:00,2,104,1,35,0,0,38,0,2,1,17
2024-04-10 09:20:00,6,117,1,33,0,0,39,0,4,3,13
2024-04-10 09:10:00,9,90,0,39,0,0,48,0,3,2,16
2024-04-10 09:00:00,17,112,1,56,1,0,68,0,6,2,14
2024-04-10 08:50:00,7,102,0,40,1,0,70,0,2,0,7
2024-04-10 08:40:00,9,67,0,34,2,0,50,0,3,4,16
2024-04-10 08:30:00,14,78,3,26,0,0,41,0,1,1,14
2024-04-10 08:20:00,20,59,1,37,4,0,47,0,2,0,13
2024-04-10 08:10:00,14,80,1,36,2,0,61,0,6,2,6
2024-04-10 08:00:00,5,73,2,35,0,0,69,0,3,1,9
2024-04-10 07:50:00,4,112,0,29,0,0,66,0,2,2,11
2024-04-10 07:40:00,12,115,1,31,3,0,54,0,1,3,15
2024-04-10 07:30:00,7,86,0,33,0,1,40,0,3,6,11
2024-04-10 07:20:00,3,87,0,31,1,0,58,0,3,1,18
2024-04-10 07:10:00,4,74,2,23,1,0,45,0,4,1,18
2024-04-10 07:00:00,8,80,4,20,1,0,40,1,2,9,5
2024-04-10 06:50:00,2,61,1,19,2,0,30,0,3,1,4
2024-04-10 06:40:00,0,54,0,10,0,0,40,0,1,3,13
2024-04-10 06:30:00,2,47,0,16,0,0,35,0,1,0,6
2024-04-10 06:20:00,0,27,1,10,1,0,23,0,2,1,1
2024-04-10 06:10:00,2,32,1,10,1,0,36,0,5,0,5
2024-04-10 06:00:00,1,39,0,7,0,0,23,1,1,2,6
2024-04-10 05:50:00,2,28,0,10,1,0,16,0,0,0,5
2024-04-10 05:40:00,1,23,0,7,0,0,16,0,0,0,4
2024-04-10 05:30:00,1,19,1,9,0,0,12,0,0,0,2
2024-04-10 05:20:00,0,14,0,4,0,0,5,0,1,0,1
2024-04-10 05:10:00,0,10,0,2,0,0,7,0,0,0,5
2024-04-10 05:00:00,0,12,0,1,0,0,7,0,1,0,2
2024-04-10 04:50:00,0,8,0,3,0,0,10,0,0,0,1
2024-04-10 04:40:00,0,4,0,0,0,0,3,0,0,0,0
2024-04-10 04:30:00,1,6,0,2,0,0,0,0,0,0,0
2024-04-10 04:20:00,0,4,0,3,0,0,4,0,0,0,1
2024-04-10 04:10:00,0,10,0,1,0,0,0,0,0,0,0
2024-04-10 04:00:00,2,3,0,1,0,0,2,0,0,0,0
2024-04-10 03:50:00,0,4,0,2,0,0,5,0,0,0,0
2024-04-10 03:40:00,0,3,0,1,0,0,3,0,0,0,2
2024-04-10 03:30:00,0,4,0,0,0,0,1,0,0,0,0
2024-04-10 03:20:00,0,2,0,0,0,0,2,0,0,0,0
2024-04-10 03:10:00,0,6,0,0,0,0,3,0,0,0,1
2024-04-10 03:00:00,0,5,0,2,0,0,1,0,1,0,0
2024-04-10 02:50:00,0,3,0,0,0,0,2,0,2,0,0
2024-04-10 02:40:00,0,1,0,1,0,0,3,0,0,0,0
2024-04-10 02:30:00,0,4,0,2,0,0,3,0,0,0,0
2024-04-10 02:20:00,0,6,0,0,0,0,2,0,0,0,1
2024-04-10 02:10:00,3,5,0,0,3,0,4,0,0,0,1
2024-04-10 02:00:00,0,6,0,1,0,0,2,0,0,0,0
2024-04-10 01:50:00,0,2,0,2,0,0,1,0,1,0,0
2024-04-10 01:40:00,1,11,0,1,0,0,1,0,0,0,0
2024-04-10 01:30:00,0,5,0,1,0,0,1,0,0,0,1
2024-04-10 01:20:00,0,3,0,0,0,0,2,0,0,0,0
2024-04-10 01:10:00,0,10,0,1,0,0,6,0,0,0,1
2024-04-10 01:00:00,0,10,0,2,0,0,3,0,0,0,0
