timestamp,SC1,SC2,SC3,SC4,SC5,Bikes
2024-03-26 23:50:00,0,14,0,1,0,4
2024-03-26 23:40:00,0,8,0,1,0,10
2024-03-26 23:30:00,0,10,0,3,0,13
2024-03-26 23:20:00,1,16,0,5,0,8
2024-03-26 23:10:00,1,14,0,9,0,8
2024-03-26 23:00:00,0,9,0,8,0,12
2024-03-26 22:50:00,0,18,0,9,0,13
2024-03-26 22:40:00,0,23,0,7,0,13
2024-03-26 22:30:00,0,12,0,9,4,14
2024-03-26 22:20:00,0,28,0,12,0,11
2024-03-26 22:10:00,1,24,0,11,0,15
2024-03-26 22:00:00,1,20,0,17,0,20
2024-03-26 21:50:00,0,25,0,11,0,14
2024-03-26 21:40:00,2,16,0,9,0,12
2024-03-26 21:30:00,3,22,0,7,1,20
2024-03-26 21:20:00,0,28,0,9,0,16
2024-03-26 21:10:00,0,13,0,12,0,16
2024-03-26 21:00:00,0,24,0,13,0,25
2024-03-26 20:50:00,0,27,0,11,0,19
2024-03-26 20:40:00,8,27,0,20,0,21
2024-03-26 20:30:00,1,31,2,12,4,20
2024-03-26 20:20:00,1,37,2,15,1,18
2024-03-26 20:10:00,1,41,7,14,4,24
2024-03-26 20:00:00,4,24,0,12,2,21
2024-03-26 19:50:00,0,49,0,13,2,19
2024-03-26 19:40:00,4,37,1,20,0,22
2024-03-26 19:30:00,3,35,0,14,0,29
2024-03-26 19:20:00,3,35,0,11,0,18
2024-03-26 19:10:00,1,39,0,24,3,18
2024-03-26 19:00:00,1,39,4,31,0,42
2024-03-26 18:50:00,2,53,0,27,3,27
2024-03-26 18:40:00,0,77,1,29,3,27
2024-03-26 18:30:00,1,51,1,19,2,34
2024-03-26 18:20:00,4,56,1,23,2,30
2024-03-26 18:10:00,3,60,2,16,3,22
2024-03-26 18:00:00,2,55,0,28,0,26
2024-03-26 17:50:00,3,54,0,21,2,26
2024-03-26 17:40:00,8,61,1,24,2,41
2024-03-26 17:30:00,2,45,0,24,1,34
2024-03-26 17:20:00,9,37,0,23,3,24
2024-03-26 17:10:00,3,68,0,19,3,26
2024-03-26 17:00:00,3,83,1,13,2,24
2024-03-26 16:50:00,2,70,0,26,1,22
2024-03-26 16:40:00,3,60,1,23,1,22
2024-03-26 16:30:00,1,47,1,16,1,23
2024-03-26 16:20:00,2,65,0,26,2,16
2024-03-26 16:10:00,3,69,0,19,0,14
2024-03-26 16:00:00,1,42,0,20,1,18
2024-03-26 15:50:00,2,55,0,29,0,19
2024-03-26 15:40:00,1,44,1,28,1,19
2024-03-26 15:30:00,0,42,0,24,1,11
2024-03-26 15:20:00,4,51,0,25,3,13
2024-03-26 15:10:00,2,63,0,28,0,9
2024-03-26 15:00:00,0,45,0,15,0,15
2024-03-26 14:50:00,1,64,0,25,0,16
2024-03-26 14:40:00,4,44,0,18,0,11
2024-03-26 14:30:00,1,50,1,21,0,8
2024-03-26 14:20:00,4,57,0,15,0,16
2024-03-26 14:10:00,0,53,0,23,0,24
2024-03-26 14:00:00,1,45,0,17,0,8
2024-03-26 13:50:00,2,50,0,23,3,8
2024-03-26 13:40:00,7,40,2,15,0,7
2024-03-26 13:30:00,2,42,0,21,2,9
2024-03-26 13:20:00,1,44,1,19,4,14
2024-03-26 13:10:00,1,44,1,18,1,11
2024-03-26 13:00:00,1,25,0,14,0,7
2024-03-26 12:50:00,3,52,0,21,1,15
2024-03-26 12:40:00,6,49,1,19,0,15
