Timestamp;Object_Id;Plausibilisiert 60min.Zählung Kfz[Fzg/h];dto_VehClass1Long.dto_VehClass1Long;.;dto_VehClass1Long.dto_VehClass1Long;dto_VehClass1Long.dto_VehClass1Long
11.09.2023 01:00;MQ 8.1 FLT Ri LU;70;;MQ 8.2 FLT Ri Neuhermsheim;59;
11.09.2023 02:00;MQ 8.1 FLT Ri LU;37;;MQ 8.2 FLT Ri Neuhermsheim;44;
11.09.2023 03:00;MQ 8.1 FLT Ri LU;36;;MQ 8.2 FLT Ri Neuhermsheim;34;
11.09.2023 04:00;MQ 8.1 FLT Ri LU;27;;MQ 8.2 FLT Ri Neuhermsheim;73;
11.09.2023 05:00;MQ 8.1 FLT Ri LU;112;;MQ 8.2 FLT Ri Neuhermsheim;129;
11.09.2023 06:00;MQ 8.1 FLT Ri LU;522;;MQ 8.2 FLT Ri Neuhermsheim;370;
11.09.2023 07:00;MQ 8.1 FLT Ri LU;863;;MQ 8.2 FLT Ri Neuhermsheim;626;
11.09.2023 08:00;MQ 8.1 FLT Ri LU;1.305,00;;MQ 8.2 FLT Ri Neuhermsheim;848;
11.09.2023 09:00;MQ 8.1 FLT Ri LU;1.225,00;;MQ 8.2 FLT Ri Neuhermsheim;831;
11.09.2023 10:00;MQ 8.1 FLT Ri LU;902;;MQ 8.2 FLT Ri Neuhermsheim;622;
11.09.2023 11:00;MQ 8.1 FLT Ri LU;672;;MQ 8.2 FLT Ri Neuhermsheim;547;
11.09.2023 12:00;MQ 8.1 FLT Ri LU;642;;MQ 8.2 FLT Ri Neuhermsheim;545;
11.09.2023 13:00;MQ 8.1 FLT Ri LU;684;;MQ 8.2 FLT Ri Neuhermsheim;650;
11.09.2023 14:00;MQ 8.1 FLT Ri LU;735;;MQ 8.2 FLT Ri Neuhermsheim;669;
11.09.2023 15:00;MQ 8.1 FLT Ri LU;795;;MQ 8.2 FLT Ri Neuhermsheim;931;
11.09.2023 16:00;MQ 8.1 FLT Ri LU;813;;MQ 8.2 FLT Ri Neuhermsheim;949;
11.09.2023 17:00;MQ 8.1 FLT Ri LU;974;;MQ 8.2 FLT Ri Neuhermsheim;1.032,00;
11.09.2023 18:00;MQ 8.1 FLT Ri LU;892;;MQ 8.2 FLT Ri Neuhermsheim;928;
11.09.2023 19:00;MQ 8.1 FLT Ri LU;713;;MQ 8.2 FLT Ri Neuhermsheim;629;
11.09.2023 20:00;MQ 8.1 FLT Ri LU;509;;MQ 8.2 FLT Ri Neuhermsheim;397;
11.09.2023 21:00;MQ 8.1 FLT Ri LU;395;;MQ 8.2 FLT Ri Neuhermsheim;323;
11.09.2023 22:00;MQ 8.1 FLT Ri LU;289;;MQ 8.2 FLT Ri Neuhermsheim;257;
11.09.2023 23:00;MQ 8.1 FLT Ri LU;236;;MQ 8.2 FLT Ri Neuhermsheim;259;
11.09.2023 23:59;MQ 8.1 FLT Ri LU;130;;MQ 8.2 FLT Ri Neuhermsheim;127;
12.09.2023 01:00;MQ 8.1 FLT Ri LU;68;;MQ 8.2 FLT Ri Neuhermsheim;72;
12.09.2023 02:00;MQ 8.1 FLT Ri LU;32;;MQ 8.2 FLT Ri Neuhermsheim;49;
12.09.2023 03:00;MQ 8.1 FLT Ri LU;33;;MQ 8.2 FLT Ri Neuhermsheim;27;
12.09.2023 04:00;MQ 8.1 FLT Ri LU;35;;MQ 8.2 FLT Ri Neuhermsheim;68;
12.09.2023 05:00;MQ 8.1 FLT Ri LU;109;;MQ 8.2 FLT Ri Neuhermsheim;139;
12.09.2023 06:00;MQ 8.1 FLT Ri LU;520;;MQ 8.2 FLT Ri Neuhermsheim;391;
12.09.2023 07:00;MQ 8.1 FLT Ri LU;915;;MQ 8.2 FLT Ri Neuhermsheim;651;
12.09.2023 08:00;MQ 8.1 FLT Ri LU;1.459,00;;MQ 8.2 FLT Ri Neuhermsheim;930;
12.09.2023 09:00;MQ 8.1 FLT Ri LU;1.381,00;;MQ 8.2 FLT Ri Neuhermsheim;854;
12.09.2023 10:00;MQ 8.1 FLT Ri LU;865;;MQ 8.2 FLT Ri Neuhermsheim;647;
12.09.2023 11:00;MQ 8.1 FLT Ri LU;698;;MQ 8.2 FLT Ri Neuhermsheim;516;
12.09.2023 12:00;MQ 8.1 FLT Ri LU;647;;MQ 8.2 FLT Ri Neuhermsheim;559;
12.09.2023 13:00;MQ 8.1 FLT Ri LU;722;;MQ 8.2 FLT Ri Neuhermsheim;608;
12.09.2023 14:00;MQ 8.1 FLT Ri LU;785;;MQ 8.2 FLT Ri Neuhermsheim;697;
12.09.2023 15:00;MQ 8.1 FLT Ri LU;873;;MQ 8.2 FLT Ri Neuhermsheim;930;
12.09.2023 16:00;MQ 8.1 FLT Ri LU;866;;MQ 8.2 FLT Ri Neuhermsheim;994;
12.09.2023 17:00;MQ 8.1 FLT Ri LU;988;;MQ 8.2 FLT Ri Neuhermsheim;1.108,00;
12.09.2023 18:00;MQ 8.1 FLT Ri LU;964;;MQ 8.2 FLT Ri Neuhermsheim;1.012,00;
12.09.2023 19:00;MQ 8.1 FLT Ri LU;785;;MQ 8.2 FLT Ri Neuhermsheim;700;
12.09.2023 20:00;MQ 8.1 FLT Ri LU;575;;MQ 8.2 FLT Ri Neuhermsheim;426;
12.09.2023 21:00;MQ 8.1 FLT Ri LU;389;;MQ 8.2 FLT Ri Neuhermsheim;361;
12.09.2023 22:00;MQ 8.1 FLT Ri LU;284;;MQ 8.2 FLT Ri Neuhermsheim;282;
12.09.2023 23:00;MQ 8.1 FLT Ri LU;228;;MQ 8.2 FLT Ri Neuhermsheim;295;
12.09.2023 23:59;MQ 8.1 FLT Ri LU;101;;MQ 8.2 FLT Ri Neuhermsheim;123;
13.09.2023 01:00;MQ 8.1 FLT Ri LU;60;;MQ 8.2 FLT Ri Neuhermsheim;75;
13.09.2023 02:00;MQ 8.1 FLT Ri LU;37;;MQ 8.2 FLT Ri Neuhermsheim;53;
13.09.2023 03:00;MQ 8.1 FLT Ri LU;30;;MQ 8.2 FLT Ri Neuhermsheim;29;
13.09.2023 04:00;MQ 8.1 FLT Ri LU;32;;MQ 8.2 FLT Ri Neuhermsheim;64;
13.09.2023 05:00;MQ 8.1 FLT Ri LU;140;;MQ 8.2 FLT Ri Neuhermsheim;125;
13.09.2023 06:00;MQ 8.1 FLT Ri LU;535,4;;MQ 8.2 FLT Ri Neuhermsheim;378;
13.09.2023 07:00;MQ 8.1 FLT Ri LU;853;;MQ 8.2 FLT Ri Neuhermsheim;646;
13.09.2023 08:00;MQ 8.1 FLT Ri LU;1.534,00;;MQ 8.2 FLT Ri Neuhermsheim;927;
13.09.2023 09:00;MQ 8.1 FLT Ri LU;1.450,00;;MQ 8.2 FLT Ri Neuhermsheim;904;
